Strong's Number,Original Word,Testament,Has English,Has Telugu,Part of Speech,Gloss/Note
G480,"ἀντίκειμαι",Greek (NT),No,No,,""
G481,"ἀντικρύ",Greek (NT),No,No,,""
G482,"ἀντιλαμβάνομαι",Greek (NT),No,No,,""
G483,"ἀντιλέγω",Greek (NT),No,No,,""
G484,"ἀντίληψις",Greek (NT),No,No,,""
G485,"ἀντιλογία",Greek (NT),No,No,,""
G486,"ἀντιλοιδορέω",Greek (NT),No,No,,""
G487,"ἀντίλυτρον",Greek (NT),No,No,,""
G488,"ἀντιμετρέω",Greek (NT),No,No,,""
G489,"ἀντιμισθία",Greek (NT),No,No,,""
G490,"Ἀντιόχεια",Greek (NT),No,No,,""
G491,"Ἀντιοχεύς",Greek (NT),No,No,,""
G492,"ἀντιπαρέρχομαι",Greek (NT),No,No,,""
G493,"Ἀντίπας",Greek (NT),No,No,,""
G494,"Ἀντιπατρίς",Greek (NT),No,No,,""
G495,"ἀντιπέραν",Greek (NT),No,No,,""
